AnatolianNeolithic	AnatolianNeolithic
Baalberge_MN	Germany_MN
Bell_Beaker_LN	Germany_LNBA
BenzigerodeHeimburg_LN	Germany_LNBA
Corded_Ware_LN	Germany_LNBA
Esperstedt_MN	Germany_MN
Halberstadt_LBA	Germany_LNBA
HungaryGamba_BA	Hungary_LNBA
HungaryGamba_CA	Hungary_LNBA
HungaryGamba_EN	Hungary_EN
HungaryGamba_HG	WHG
Iceman	Italy_MN
LaBrana1	WHG
LBK_EN	Germany_EN
LBKT_EN	Hungary_EN
Loschbour	WHG
Motala_HG	SHG
Spain_EN	Spain_EN
Spain_MN	Spain_MN
Starcevo_EN	Hungary_EN
Stuttgart	Germany_EN
SwedenSkoglund_MHG	SHG
SwedenSkoglund_NHG	SHG
Unetice_EBA	Germany_LNBA
Yamnaya	Steppe_BA
Poltavka	Steppe_BA
Srubnaya	Steppe_BA
